CountyRef,Longitude,Latitude,Mean_SO2
"Allen, Ohio, USA",-84.0539,40.770944,0.233516
"Ashtabula, Ohio, USA",-80.572808,41.959695,1.333333
"Belmont, Ohio, USA",-80.7464,39.9679,0.547222
"Butler, Ohio, USA",-84.409617,39.479822,3.475
"Butler, Ohio, USA",-84.394952,39.472436,8.241096
"Butler, Ohio, USA",-84.40256,39.46619,4.854396
"Clark, Ohio, USA",-83.99773,39.85567,0.36236
"Columbiana, Ohio, USA",-80.547181,40.631545,0.689655
"Cuyahoga, Ohio, USA",-81.682383,41.477011,3.16156
"Cuyahoga, Ohio, USA",-81.656792,41.471782,1.630573
"Cuyahoga, Ohio, USA",-81.662356,41.446624,3.816667
"Franklin, Ohio, USA",-82.994424,40.002707,0.309677
"Gallia, Ohio, USA",-82.12211,38.95018,4.184066
"Gallia, Ohio, USA",-82.14893,38.89495,4.969188
"Gallia, Ohio, USA",-82.1104,38.94945,6.722857
"Hamilton, Ohio, USA",-84.69086,39.21487,3.900826
"Hamilton, Ohio, USA",-84.50404,39.12886,2.303315
"Jefferson, Ohio, USA",-80.62955,40.271976,0.787425
"Jefferson, Ohio, USA",-80.639987,40.259475,0.671512
"Lake, Ohio, USA",-81.422455,41.673006,1.98895
"Lake, Ohio, USA",-81.242156,41.726811,1.290055
"Lawrence, Ohio, USA",-82.659241,38.508075,0.299383
"Lucas, Ohio, USA",-83.47583,41.66343,1.744444
"Mahoning, Ohio, USA",-80.658867,41.096188,1.04
"Morgan, Ohio, USA",-81.67005,39.63223,2.464387
"Preble, Ohio, USA",-84.720524,39.83562,1.043978
"Scioto, Ohio, USA",-82.822512,38.609338,4.363636
"Scioto, Ohio, USA",-82.834973,38.588034,1.818681
"Summit, Ohio, USA",-81.468956,41.063526,0.611111
"Summit, Ohio, USA",-81.516235,41.079159,0.244382
"Garfield, Oklahoma, USA",-97.845959,36.512363,2.802899
"Kay, Oklahoma, USA",-97.08135,36.697186,3.726027
"Mayes, Oklahoma, USA",-95.269196,36.228993,3.721763
"Muskogee, Oklahoma, USA",-95.287067,35.775813,0.611888
"Tulsa, Oklahoma, USA",-96.015845,36.15483,0.78273
"Multnomah, Oregon, USA",-122.575278,45.5625,1.943333
"York, Pennsylvania, USA",-76.912256,39.8751,0.841758
"Providence, Rhode Island, USA",-71.36097,41.841039,0.470774
"Sullivan, Tennessee, USA",-82.516306,36.532616,11.140496
"Sullivan, Tennessee, USA",-82.502454,36.521066,6.798343
"Sullivan, Tennessee, USA",-82.528677,36.526359,19.76338
"Sullivan, Tennessee, USA",-82.550498,36.513026,8.451253
"Bexar, Texas, USA",-98.332814,29.352911,0.881548
"Freestone, Texas, USA",-96.1031,31.797813,0.832493
"Gregg, Texas, USA",-94.711813,32.378696,3.936236
"Harrison, Texas, USA",-94.481595,32.470228,9.303662
"Howard, Texas, USA",-101.407137,32.280422,14.851796
"Hutchinson, Texas, USA",-101.4401,35.6762,38.23454
"Jefferson, Texas, USA",-93.9652,29.8442,3.150565
"McLennan, Texas, USA",-97.070704,31.653086,1.21453
"Milam, Texas, USA",-97.076294,30.569534,0.486982
"Navarro, Texas, USA",-96.352,31.9041,16.658484
"Nueces, Texas, USA",-97.555387,27.832413,1.184527
"Nueces, Texas, USA",-97.431553,27.804489,0.989571
"Orange, Texas, USA",-93.725897,30.153675,6.701127
"Potter, Texas, USA",-101.7418,35.3165,13.009034
"Robertson, Texas, USA",-96.481944,31.168889,0.74375
"Rusk, Texas, USA",-94.570851,32.277929,14.740782
"Titus, Texas, USA",-94.8474,33.0752,2.938218
"Travis, Texas, USA",-97.761803,30.354944,0.439889
"Salt Lake, Utah, USA",-112.111275,40.712146,2.762011
